,StartStopId,EndStopId,busTravelTime
0,S10,S11,6.390243902439025
1,S10,S12,10.818181818181818
2,S10,S13,17.65
3,S10,S14,23.470588235294116
4,S10,S15,27.92
5,S10,S16,38.46666666666667
6,S10,S2,121.3974358974359
7,S11,S12,4.642857142857143
8,S11,S13,12.13888888888889
9,S11,S14,17.735294117647058
10,S11,S15,22.012345679012345
11,S11,S16,31.52173913043478
12,S11,S2,113.44339622641509
13,S12,S13,7.2
14,S12,S14,13.181818181818182
15,S12,S15,17.31578947368421
16,S12,S16,26.666666666666668
17,S12,S2,124.11111111111111
18,S13,S14,6.473684210526316
19,S13,S15,10.796296296296296
20,S13,S16,21.23076923076923
21,S13,S2,118.96703296703296
22,S14,S15,5.066666666666666
23,S14,S16,15.333333333333334
24,S14,S2,113.85606060606061
25,S15,S16,10.862068965517242
26,S15,S2,114.63803680981596
27,S16,S2,115.33333333333333
28,S2,S10,111.44875346260388
29,S2,S11,112.49292929292929
30,S2,S12,111.16260162601625
31,S2,S13,109.49712643678161
32,S2,S14,113.52941176470588
33,S2,S15,114.15576323987538
34,S2,S16,117.01639344262296
35,S2,S3,100.18512780790086
36,S2,S4,100.71378091872792
37,S2,S5,108.03183962264151
38,S2,S6,104.95945945945945
39,S2,S7,107.2274678111588
40,S2,S8,103.355
41,S2,S9,106.37704918032787
42,S3,S10,56.0
43,S3,S11,61.28813559322034
44,S3,S12,65.5
45,S3,S13,72.83720930232558
46,S3,S14,78.64788732394366
47,S3,S15,83.50617283950618
48,S3,S16,92.92857142857143
49,S3,S2,110.39603960396039
50,S3,S4,7.15
51,S3,S5,17.45045045045045
52,S3,S6,29.81967213114754
53,S3,S7,38.36585365853659
54,S3,S8,41.704918032786885
55,S3,S9,49.27433628318584
56,S4,S10,49.4
57,S4,S11,54.0
58,S4,S12,59.22222222222222
59,S4,S13,65.6923076923077
60,S4,S14,71.1
61,S4,S15,75.75
62,S4,S16,85.6
63,S4,S2,104.1891891891892
64,S4,S5,10.8
65,S4,S6,22.875
66,S4,S7,30.7
67,S4,S8,34.55555555555556
68,S4,S9,42.357142857142854
69,S5,S10,38.78431372549019
70,S5,S11,44.4
71,S5,S12,48.8125
72,S5,S13,55.20754716981132
73,S5,S14,61.507246376811594
74,S5,S15,65.79310344827586
75,S5,S16,75.73684210526316
76,S5,S2,117.01935483870967
77,S5,S6,13.391304347826088
78,S5,S7,21.813953488372093
79,S5,S8,25.261904761904763
80,S5,S9,32.66326530612245
81,S6,S10,26.210526315789473
82,S6,S11,32.878787878787875
83,S6,S12,36.42857142857143
84,S6,S13,44.0
85,S6,S14,49.17391304347826
86,S6,S15,53.56818181818182
87,S6,S16,64.57142857142857
88,S6,S2,105.15789473684211
89,S6,S7,9.153846153846153
90,S6,S8,12.708333333333334
91,S6,S9,20.1875
92,S7,S10,17.705882352941178
93,S7,S11,23.681818181818183
94,S7,S12,27.375
95,S7,S13,34.72727272727273
96,S7,S14,40.41379310344828
97,S7,S15,44.696969696969695
98,S7,S16,54.0
99,S7,S2,112.9245283018868
100,S7,S8,4.0
101,S7,S9,11.615384615384615
102,S8,S10,14.655172413793103
103,S8,S11,20.543478260869566
104,S8,S12,24.428571428571427
105,S8,S13,31.966666666666665
106,S8,S14,37.36363636363637
107,S8,S15,41.955555555555556
108,S8,S16,53.55555555555556
109,S8,S2,121.8
110,S8,S9,8.32258064516129
111,S9,S10,7.098039215686274
112,S9,S11,13.101123595505618
113,S9,S12,17.166666666666668
114,S9,S13,24.056603773584907
115,S9,S14,29.93548387096774
116,S9,S15,34.319148936170215
117,S9,S16,43.18181818181818
118,S9,S2,112.46212121212122
119,S10,S3,221.58256370533675
120,S10,S4,222.11121681616382
121,S10,S5,229.4292755200774
122,S10,S6,226.35689535689534
123,S10,S7,228.6249037085947
124,S10,S8,224.7524358974359
125,S10,S9,227.77448507776376
126,S11,S10,224.89214968901896
127,S11,S3,213.62852403431594
128,S11,S4,214.157177145143
129,S11,S5,221.47523584905662
130,S11,S6,218.40285568587456
131,S11,S7,220.6708640375739
132,S11,S8,216.7983962264151
133,S11,S9,219.82044540674298
134,S12,S10,235.559864573715
135,S12,S11,236.6040404040404
136,S12,S3,224.29623891901196
137,S12,S4,224.82489202983902
138,S12,S5,232.14295073375263
139,S12,S6,229.07057057057057
140,S12,S7,231.3385789222699
141,S12,S8,227.4661111111111
142,S12,S9,230.488160291439
143,S13,S10,230.41578642963685
144,S13,S11,231.45996225996225
145,S13,S12,230.12963459304922
146,S13,S3,219.1521607749338
147,S13,S4,219.68081388576087
148,S13,S5,226.99887258967448
149,S13,S6,223.92649242649242
150,S13,S7,226.19450077819175
151,S13,S8,222.32203296703295
152,S13,S9,225.34408214736084
153,S14,S10,225.30481406866448
154,S14,S11,226.34898989898988
155,S14,S12,225.01866223207685
156,S14,S13,223.35318704284222
157,S14,S3,214.04118841396146
158,S14,S4,214.56984152478853
159,S14,S5,221.8879002287021
160,S14,S6,218.81552006552005
161,S14,S7,221.0835284172194
162,S14,S8,217.2110606060606
163,S14,S9,220.23310978638847
164,S15,S10,226.08679027241982
165,S15,S11,227.13096610274525
166,S15,S12,225.8006384358322
167,S15,S13,224.13516324659759
168,S15,S14,228.16744857452184
169,S15,S3,214.82316461771683
170,S15,S4,215.3518177285439
171,S15,S5,222.66987643245747
172,S15,S6,219.5974962692754
173,S15,S7,221.86550462097478
174,S15,S8,217.99303680981598
175,S15,S9,221.01508599014383
176,S16,S10,226.7820867959372
177,S16,S11,227.82626262626263
178,S16,S12,226.4959349593496
179,S16,S13,224.83045977011494
180,S16,S14,228.86274509803923
181,S16,S15,229.4890965732087
182,S16,S3,215.51846114123418
183,S16,S4,216.04711425206125
184,S16,S5,223.36517295597486
185,S16,S6,220.2927927927928
186,S16,S7,222.56080114449213
187,S16,S8,218.68833333333333
188,S16,S9,221.71038251366122
189,S4,S3,204.37431699709003
190,S5,S3,217.20448264661053
191,S5,S4,217.7331357574376
192,S6,S3,205.34302254474295
193,S6,S4,205.87167565557002
194,S6,S5,213.18973435948362
195,S7,S3,213.10965610978764
196,S7,S4,213.6383092206147
197,S7,S5,220.9563679245283
198,S7,S6,217.88398776134625
199,S8,S3,221.98512780790085
200,S8,S4,222.51378091872792
201,S8,S5,229.8318396226415
202,S8,S6,226.75945945945944
203,S8,S7,229.0274678111588
204,S9,S3,212.64724902002206
205,S9,S4,213.17590213084912
206,S9,S5,220.49396083476273
207,S9,S6,217.42158067158067
208,S9,S7,219.68958902328
209,S9,S8,215.8171212121212
